0;0;;
0,1;0,000642561;;
0,2;0,004460146;;
0,3;0,013818469;;
0,4;0,030273513;;
0,5;0,054777885;;
0,6;0,087802509;;
0,7;0,129427349;;
0,8;0,179410704;;
0,9;0,237243824;;
1;0,302195647;;
1,1;0,37335094;;
1,2;0,449644154;;
1,3;0,529890495;;
1,4;0,612815211;;
1,5;0,697081652;;
1,6;0,781318433;;
1,7;0,864145775;;
1,8;0,944200993;;
1,9;1,020162988;;
2;1,090775527;;
2,1;1,154869084;;
2,2;1,211380974;;
2,3;1,259373515;;
2,4;1,298049982;;
2,5;1,326768111;;
2,6;1,345050965;;
2,7;1,352595001;;
2,8;1,349275214;;
2,9;1,335147276;;
3;1,310446662;;
3,1;1,27558476;;
3,2;1,231142047;;
3,3;1,177858444;;
3,4;1,11662101;;
3,5;1,048449185;;
3,6;0,974477825;;
3,7;0,895938318;;
3,8;0,814138086;;
3,9;0,730438824;;
4;0,646233836;;
4,1;0,562924843;;
4,2;0,481898645;;
4,3;0,404504042;;
4,4;0,332029382;;
4,5;0,265681109;;
4,6;0,206563686;;
4,7;0,155661209;;
4,8;0,113821021;;
4,9;0,081739612;;
5;0,059951025;;
5,1;0,04881796;;
5,2;0,048525744;;
5,3;0,059079241;;
5,4;0,080302774;;
5,5;0,111843047;;
5,6;0,153175027;;
5,7;0,203610684;;
5,8;0,262310445;;
5,9;0,32829717;;
6;0,400472415;;
6,1;0,477634721;;
6,2;0,558499612;;
6,3;0,641720977;;
6,4;0,725913477;;
6,5;0,809675609;;
6,6;0,891613033;;
6,7;0,970361784;;
6,8;1,044610977;;
6,9;1,113124629;;
7;1,174762232;;
7,1;1,228497742;;
7,2;1,273436654;;
7,3;1,308830895;;
7,4;1,33409128;;
7,5;1,348797312;;
7,6;1,352704189;;
7,7;1,345746875;;
7,8;1,328041184;;
7,9;1,299881854;;
8;1,261737636;;
8,1;1,214243494;;
8,2;1,158190037;;
8,3;1,094510354;;
8,4;1,024264483;;
8,5;0,948621768;;
8,6;0,868841388;;
8,7;0,786251402;;
8,8;0,702226637;;
8,9;0,618165805;;
9;0,535468217;;
9,1;0,455510494;;
9,2;0,379623645;;
9,3;0,309070914;;
9,4;0,245026752;;
9,5;0,188557265;;
9,6;0,140602468;;
9,7;0,101960636;;
9,8;0,073275019;;
9,9;0,055023128;;
10;0,047508793;;
10,1;0,0508571;;
10,2;0,065012312;;
10,3;0,089738796;;
10,4;0,124624943;;
10,5;0,169090025;;
10,6;0,222393856;;
10,7;0,283649119;;
10,8;0,351836133;;
10,9;0,425819828;;
11;0,504368641;;
11,1;0,586175013;;
11,2;0,669877163;;
11,3;0,754081749;;
11,4;0,837387066;;
11,5;0,918406378;;
11,6;0,995791004;;
11,7;1,068252767;;
11,8;1,134585437;;
11,9;1,193684813;;
12;1,244567102;;
12,1;1,286385296;;
12,2;1,318443271;;
12,3;1,340207377;;
12,4;1,35131532;;
12,5;1,351582191;;
12,6;1,341003549;;
12,7;1,31975549;;
12,8;1,288191719;;
12,9;1,246837658;;
13;1,196381705;;
13,1;1,137663772;;
13,2;1,071661301;;
13,3;0,999472998;;
13,4;0,92230054;;
13,5;0,841428571;;
13,6;0,758203322;;
13,7;0,674010193;;
13,8;0,590250701;;
13,9;0,50831914;;
14;0,429579378;;
14,1;0,35534215;;
14,2;0,28684324;;
14,3;0,225222911;;
14,4;0,17150692;;
14,5;0,126589446;;
14,6;0,091218204;;
14,7;0,065981999;;
14,8;0,051300924;;
14,9;0,047419366;;
15;0,054401939;;
15,1;0,072132407;;
15,2;0,100315623;;
15,3;0,138482437;;
15,4;0,185997507;;
15,5;0,242069878;;
15,6;0,305766145;;
